image,text
20260402T070012849907.png,devansh
20260402T070510958950.png,goyal
20260402T072131734587.png,D
20260403T043115517409.png,my name is devansh
20260403T121705489250.png,Devansh Goyal
20260403T123032871440.png,Devansh
20260408T043647061329.png,happy
20260408T043737913034.png,shivam
20260408T051329675281.png,SEMMA
20260408T161443525245.png,Divyansh
20260409T140313037322.png,shivam
20260409T175243089432.png,Shi vam
20260409T175436440573.png,you
20260409T175533437748.png,a
20260409T175717879164.png,sex
20260409T175911372076.png,Tiger
20260409T180149211598.png,Elephant
20260409T180251522273.png,sun
20260409T180426607836.png,I am a dog
20260409T180826180911.png,Dwarf
20260409T181020686053.png,Love
20260409T181257543726.png,Hello
20260409T181507833549.png,Amino
20260409T181602120495.png,acid
20260409T181747253555.png,Beach
20260409T182011949500.png,breach
20260409T182135827968.png,randers
20260409T182238901257.png,arouse
20260409T182525088175.png,arosen
20260409T182726886709.png,fat
20260409T183015894215.png,Banana
20260409T183236343848.png,Quiet
20260409T183407616830.png,quest
20260409T183559173663.png,spade
20260409T183654058689.png,eraser
20260409T183806838572.png,Eraser
20260409T183908983288.png,Item
20260409T184126975146.png,Taylor
20260409T184333979844.png,Xylem
20260409T185342476827.png,work
20260409T185518358600.png,enjoy
20260409T190247367360.png,curtain
20260409T190450704786.png,hairs
20260409T190752428481.png,manhattan
20260409T191201201230.png,walter white
20260409T191336204165.png,Amazon
20260409T191451818136.png,Linkedin
20260409T191758230976.png,language
20260409T191857088912.png,Aeroplane
20260409T144609327929.png,shivam
20260409T145007286386.png,are
20260409T145035430733.png,mango
20260409T145104687140.png,shivam
20260409T145213080246.png,shivam gupta
20260409T145449660479.png,Devansh
20260409T145657232516.png,god
20260409T145805914600.png,god
20260409T150035068597.png,sheela
20260409T150130825376.png,shilajit
20260409T150319072020.png,queen
20260409T150441957851.png,nikhil
20260409T150643281139.png,nikhil gupta
20260409T175015488193.png,keshav
20260409T175236536920.png,goyal
20260409T175736251561.png,sexy
20260409T175954579081.png,cheetah
20260409T180750618143.png,nigga
20260409T180941996926.png,love
20260409T181045776844.png,love
20260409T181112367009.png,lovede
20260409T181414367461.png,fragile
20260409T181531616427.png,rachit
<<<<<<< HEAD
20260409T181721515578.png,bitch
20260409T181928438777.png,apples
20260409T181934030979.png,mango
20260409T182043845879.png,jungle
20260409T182044629505.png,bhushan
20260409T182333752090.png,arouse
20260409T183113534637.png,bang
20260409T184019762172.png,so many
20260409T184149835186.png,Ram
=======
20260409T181721515578.png,bitch
20260409T181928438777.png,apples
20260409T182044629505.png,bhushan
20260409T182333752090.png,arouse
<<<<<<< HEAD
<<<<<<< HEAD
20260410T080812382355.png,shoes
>>>>>>> shivam/pdf
=======
=======
>>>>>>> 56a6f08b929eb845006a8248978545e4ea8a993d
20260410T164734036192.png,Hello
20260410T164815951483.png,Tree
20260410T164856534034.png,Star
20260410T164945726576.png,Monkey
20260410T165343664681.png,Google
20260410T165538670938.png,First
20260410T165639140941.png,Galaxy
20260410T165716757645.png,Galaxy
20260410T165801562046.png,Pluto
20260410T165832714366.png,Earth
20260410T165915339634.png,Pluto
20260410T170017251596.png,Dictionary
20260410T170056414710.png,Apes
20260410T170150076474.png,Drawing
20260410T170257481053.png,drawer
<<<<<<< HEAD
>>>>>>> keshav
=======
20260410T171000016609.png,Good
20260410T171039178104.png,Dance
<<<<<<< HEAD
>>>>>>> 6c12f67a3932d7bc5516ec7c28d74a300691a92a
=======
=======
20260410T080812382355.png,shoes
>>>>>>> shivam/pdf
>>>>>>> da73bbbcf590b6da9f1df6d3c5752a20c7c92b2d
20260410T172104099620.png,caught
20260410T172616710625.png,goat
20260410T172711063254.png,christmas
20260410T172742094885.png,foil
20260410T172837488856.png,holi
20260410T172923589530.png,storage
20260410T173002092922.png,boat
20260410T173101411032.png,yacht
20260410T173133372957.png,Try
20260410T173205124078.png,Judge
20260410T173241463779.png,Treat
20260410T173325260658.png,starring
20260410T173358353843.png,God
20260410T173428139259.png,Sky
20260410T173504648649.png,Stars
20260410T173614397414.png,citrus
20260410T173703214396.png,craving
20260410T173729432515.png,cry
20260410T173757384275.png,coach
20260410T173849153588.png,I am a boy
20260410T173933309030.png,I love you
20260410T174126477628.png,Rahul Sharma
20260410T174238364089.png,Rahul is great
20260410T174352260728.png,Ajit Patel
20260410T174455367635.png,Maths
20260410T174632101124.png,Physics
20260410T174723549286.png,coding
20260410T174900218863.png,I wanna dance
20260410T174932531275.png,uff
20260410T175137379654.png,Good job Keshav
20260410T175215448248.png,cricket
20260410T175324139779.png,Red colour
20260410T175453756110.png,Red is favourite
20260410T175704069488.png,sun is hot
20260410T175911945726.png,disco night
20260410T175947417738.png,Orange
20260410T180131630495.png,Brush
20260410T180422860670.png,Tooth Brush
20260410T180548513921.png,Gready
20260410T180722097024.png,Go have fun
>>>>>>> 56a6f08b929eb845006a8248978545e4ea8a993d
